,Unnamed: 0,Unnamed: 0.1,doi,pmid,text,link,label1,numerics,tfidf,Symptoms,Genetics,Metabolism,Screening,Treatments,Epidemiology
10,10,10,10.3889/oamjms.2018.038,29484020.0,phenylalanine investigation brief author vitiligo therapy unconventional approach therapeutical effectiveness part pge treatment antioxidant well agent show overview,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5816295/,abstract,0,vitiligo pge unconventional therapeutical brief antioxidant author overview agent effectiveness investigation therapy approach phenylalanine treatment,"{""phenylalanine"": {""freq"": 2, ""string"": []}}",{},{},{},{},{}
11,11,11,10.1186/s13023-018-0993-1,30700313.0,blood canadian reliability backgroundnewborn region early affect effort congenital essential positive july laboratory country initial insight condition frequency resultsa preterm common highlight risk validation objective disease material unavailable hemoglobinopathy treatable supplementary confirm user nature health data panel comment rural determination conclusionsthis parent online article resource electronic bangladesh discharge feasibility cord version materialthe carrier threshold public sample within variant newborn screen spot january community hypothyroidism birth authorized analysis previously program available research infant widely modality importance preventative cohort part study barrier prick total initiative acceptable,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6354381/,abstract,6,unavailable bangladesh preventative hemoglobinopathy backgroundnewborn discharge comment canadian prick cord july threshold reliability confirm modality rural resultsa conclusionsthis preterm authorized treatable hypothyroidism initiative january feasibility acceptable determination validation screen barrier initial nature affect widely carrier panel community resource effort insight materialthe spot previously highlight frequency essential parent laboratory congenital importance cohort public birth country region infant supplementary objective program user positive version variant electronic online total newborn material condition article common sample available risk early blood research health data analysis disease study,{},{},{},"{""newborn"": {""freq"": 1, ""string"": [""unavailable bangladesh preventative hemoglobinopathy backgroundnewborn discharge comment canadian prick c"", ""positive version variant electronic online total newborn material condition article common s""]}}",{},{}
12,12,12,10.1155/2018/3235072,30154849.0,bosentan carboxylic propranolol case antihypertensive fluorescence blood amlodipine channel prazosin mass verapamil class irbesartan ramipril spot discus doxazosin inhibitor valsartan several drug nifedipine losartan blocker lisinopril angiotensin review ambrisentan metoprolol cardiovascular spectrometry pressure method hypertension rosuvastatin atorvastatin pregabalin diltiazem atenolol detection enzyme high bisoprolol ramiprilat acid quantification receptor endothelin disease statin harbinger tandem medication captopril antagonist calcium treat,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093062/,abstract,0,verapamil valsartan rosuvastatin ramiprilat ramipril propranolol pregabalin prazosin metoprolol losartan lisinopril irbesartan harbinger endothelin doxazosin diltiazem captopril bosentan bisoprolol atorvastatin atenolol antihypertensive amlodipine ambrisentan nifedipine carboxylic statin blocker angiotensin antagonist hypertension channel fluorescence calcium quantification pressure class inhibitor medication cardiovascular treat receptor tandem spectrometry spot discus detection enzyme mass drug case blood review acid high method disease,{},{},{},"{""detection"": {""freq"": 1, ""string"": [""treat receptor tandem spectrometry spot discus detection enzyme mass drug case b""]}, ""tandem"": {""freq"": 1, ""string"": [""class inhibitor medication cardiovascular treat receptor tandem spectrometry spot discus detection e""]}, ""spectrometry"": {""freq"": 1, ""string"": [""inhibitor medication cardiovascular treat receptor tandem spectrometry spot discus detection enzyme m""]}}",{},{}
13,13,13,10.3390/molecules201119658,26540034.0,various self popularity production motif class short biomaterials new application nanomorphologies recent discus hold creation analogue molecule since drug block discovery range compound next minimalist drive therapeutic peptide nanomedicine method characterization paradigm nanostructures property substantial remarkable delivery nanomedicines generation assembly promise finding phe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332413/,abstract,0,nanomorphologies nanomedicines minimalist popularity nanomedicine biomaterials nanostructures hold drive remarkable analogue motif creation paradigm block assembly promise characterization class peptide substantial discovery production molecule property delivery short compound generation self discus finding various phe application range drug therapeutic recent new method,{},{},{},{},{},{}
14,14,14,10.1177/1559325818811756,30574028.0,male biological activity daily mechanical glucose without actual together investigate subtle motor control well stroop session however uptake vibration word home brain mouse improvement body color effect arousal tomography selective period yet suboptimal whole functioning although wbv imaging per emission current intervention week day test year age protocol function cage cognitive aim also consequence study human positron minute safe performance gender,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299320/,abstract,8,stroop arousal wbv vibration mechanical cage positron subtle color actual suboptimal uptake minute functioning tomography emission session imaging home safe selective gender word motor protocol glucose daily consequence improvement investigate biological male week period performance mouse body cognitive aim day brain intervention activity current function test human control age year effect study,{},{},{},{},{},{}
15,15,15,10.7554/eLife.12814,26744778.0,experimental specific example energy organism explain segment presumably frequency destabilization elife hypothesis activation classifier significantly explanation account cancer driver higher doi base change predominant quantitatively significant rate mutation prediction structure overall many model silico functionally hydrophobic association braf wide forest statistical analysis alternative research pocket genome conclusive folding pattern study equilibrium acid human position random org amino number parameter,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4749552/,abstract,0,folding elife forest destabilization classifier braf quantitatively hydrophobic conclusive pocket presumably explanation segment driver silico org explain equilibrium functionally predominant base position random doi organism activation prediction energy hypothesis account experimental statistical alternative parameter genome pattern cancer example structure frequency wide overall change association rate mutation amino higher number significantly human model specific research acid significant analysis study,{},{},{},"{""amino"": {""freq"": 1, ""string"": [""wide overall change association rate mutation amino higher number significantly human m""]}}",{},{}
16,16,16,10.1128/mSystems.00031-18,29795809.0,metabolome correlation specific surgery cross self new difference mail among examine molecule molecular together open state beta diverse challenging biome remains veganism paradigm utility event much rather integrating clinically procedure citizen project science contribution particular scientist result effect microbial data specimen kind little plant united uncover shipping although microbiome variable one interest recapture phenotype temperature diversity room many population stool overgrowth work unexpected kingdom illness unknown categorical resource network association diet education hundred lifestyle earth protocol sample within untargeted reveal primarily community explanatory comparison psychiatric environmental emergent metabolomics research importance also different cohort study human extent power distinct another individual australia reductive,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954204/,abstract,1,veganism uncover reductive recapture overgrowth biome shipping earth integrating categorical unexpected stool explanatory remains mail emergent citizen challenging kingdom untargeted metabolome kind surgery scientist microbial australia beta plant specimen room microbiome reveal power paradigm illness diversity lifestyle temperature project primarily psychiatric examine united extent contribution distinct diverse open little event protocol metabolomics utility education procedure network molecule science community resource clinically unknown particular variable work comparison cross self environmental correlation importance cohort phenotype state association molecular diet difference sample individual new human specific research population different effect data result study,"{""psychiatric"": {""freq"": 1, ""string"": [""illness diversity lifestyle temperature project primarily psychiatric examine united extent contribution d""]}}",{},{},{},"{""diet"": {""freq"": 1, ""string"": [""importance cohort phenotype state association molecular diet difference sample individual new h""]}}",{}
17,17,17,10.14744/nci.2018.59862,31297488.0,case age however sporadic childhood anomaly mirror prevalence early pathway normal adolescent higher present child involuntary range girl corpus contralateral voluntary permanent detailed physical primary due examination also history extremity older familial movement homologous common headache diagnosis sufficient study old motor callosum activation adolescence year rarely unnecessary maturation migraine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593911/,abstract,3,extremity mirror migraine contralateral involuntary voluntary homologous headache unnecessary maturation sporadic callosum permanent corpus rarely familial adolescence anomaly girl detailed movement sufficient older activation examination motor adolescent history physical childhood old prevalence normal range primary pathway higher common present case early diagnosis child age year study,{},{},"{""pathway"": {""freq"": 1, ""string"": [""childhood old prevalence normal range primary pathway higher common present case e""]}}",{},{},{}
18,18,18,10.1007/s10900-015-0094-1,26433724.0,disorder sectional difference lower mennonite necessary inversely frequency moreover common marked old testing majority objective survey knowledge unique screening higher plain health respondent focus never household change genetic consideration use rate one least overall child population unlikely reason minority delivery parental response important unsure western care challenge attitude age future alongside newborn north lack favorable access order community category screened importance group america study wisconsin perception,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4779392/,abstract,0,mennonite unsure screened wisconsin plain unlikely inversely household minority marked alongside america north favorable attitude respondent reason perception western parental consideration category access unique majority community sectional necessary delivery survey old focus lack frequency importance order testing overall knowledge screening objective challenge change response future lower use care rate newborn higher important difference common population child age health group genetic disorder study,{},"{""genetic"": {""freq"": 1, ""string"": []}}",{},"{""newborn"": {""freq"": 1, ""string"": [""response future lower use care rate newborn higher important difference common p""]}, ""screening"": {""freq"": 1, ""string"": [""frequency importance order testing overall knowledge screening objective challenge change response f""]}}",{},{}
19,19,19,10.1038/s41598-017-06033-1,28720891.0,biological disorder autism example herein architecture autosomal deleterious condition wes heterogeneous majority well neurological pipeline mxra spectrum neuronal consanguinity interplay kctd family unique neurodevelopmental previous clinical htatsf nature consistent sumf candidate saudi ddx novo expectation genetic singleton whole rate asd formerly population private glt development exome disability usp itih finding kdm rare process variant recessive underscore function analysis either trio prodh intellectual high study heterogeneity human sequencing even newly total gene complex,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515956/,abstract,6,usp sumf prodh mxra kdm kctd itih htatsf glt ddx wes trio saudi pipeline expectation singleton interplay architecture underscore private consanguinity deleterious newly novo heterogeneous neuronal exome candidate neurodevelopmental asd nature recessive heterogeneity unique majority neurological autosomal intellectual autism previous consistent example disability sequencing biological spectrum finding process complex variant rare family rate total condition function human population development gene high genetic disorder clinical analysis study,"{""neurological"": {""freq"": 1, ""string"": [""asd nature recessive heterogeneity unique majority neurological autosomal intellectual autism previous c""]}, ""intellectual"": {""freq"": 1, ""string"": [""recessive heterogeneity unique majority neurological autosomal intellectual autism previous consistent example d""]}}","{""autosomal"": {""freq"": 1, ""string"": [""nature recessive heterogeneity unique majority neurological autosomal intellectual autism previous consistent e""]}, ""recessive"": {""freq"": 1, ""string"": [""neuronal exome candidate neurodevelopmental asd nature recessive heterogeneity unique majority neurological a""]}, ""genetic"": {""freq"": 1, ""string"": []}, ""heterogeneity"": {""freq"": 1, ""string"": [""exome candidate neurodevelopmental asd nature recessive heterogeneity unique majority neurological autosomal i""]}}",{},{},{},{}
20,20,20,10.3390/metabo9040076,31003499.0,biological tool new studied difference transcriptomics platform document researcher increasingly molecular due auckland conference traditional zealand session australian however life recent integrating variety perspective inherent protein integrated science envisage integration data question term ultimately full peer multi member software genomics database anzmet many omics product technique method system holistic guide recommendation promise list challenge downstream along metabolite biology community answer field metabolomics routinely popular also multiple facet interaction study perform assist proteomics gene idea complex,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6523452/,abstract,0,envisage auckland anzmet facet integrating perform answer australian zealand transcriptomics popular inherent conference proteomics holistic idea integrated assist omics routinely peer session ultimately document studied promise software downstream integration guide list traditional multi researcher platform genomics variety increasingly question member biology metabolomics perspective science community recommendation database product technique biological field interaction metabolite tool challenge multiple complex molecular recent life term difference new protein gene method data study,{},{},{},{},{},{}
21,21,21,10.1126/sciadv.1500137,26601224.0,major biochemical although accumulate supramolecular disorder later phenylalanine offer cytotoxic new death single amyloid form apoptotic determine several limited induce structure role protein fibril previously mouse model phenylketonuria biophysical peptide moreover pathological general phenomenon property antibody like metabolic entity human acid accumulation generation patient ultrastructures disease even assembly formation amino cell hallmark metabolite paradigm,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643800/,abstract,0,ultrastructures supramolecular cytotoxic biophysical accumulate apoptotic fibril induce hallmark phenomenon entity amyloid paradigm assembly antibody offer pathological peptide later formation accumulation death property limited generation structure previously determine general like biochemical mouse form metabolite major single amino role cell phenylketonuria new human model phenylalanine acid protein metabolic disorder patient disease,"{""phenylalanine"": {""freq"": 2, ""string"": [""role cell phenylketonuria new human model phenylalanine acid protein metabolic disorder p""]}}",{},{},"{""amino"": {""freq"": 1, ""string"": [""biochemical mouse form metabolite major single amino role cell phenylketonuria new h""]}}",{},{}
22,22,22,10.1007/s11306-019-1531-4,31037385.0,implication hgd herein difference glutamate methodsmetabolite specifically concern derivative pyranylium significantly respectively section murine noradrenaline measurement homogentisic amine nitisinone drinking dopamine brain fold aku mouse distribution primary neurotransmitter metabolism objectivenitisinone tail tetrafluoroborate significant alter water conclusionsmonoamine imaging tfb tyrosine diphenyl model resultsion towards hypertyrosinaemia treatment msi intensity methoxytyramine sample mass fresh suggest serotonin comparison alkaptonuria analysis spectrometry tryptophan eighteen plasma balb tissue different study monoamine direct patient tyramine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6488549/,abstract,1,tfb tetrafluoroborate resultsion pyranylium objectivenitisinone msi methodsmetabolite hgd diphenyl conclusionsmonoamine balb methoxytyramine hypertyrosinaemia tyramine noradrenaline aku homogentisic fresh tail nitisinone drinking amine alkaptonuria eighteen suggest derivative section glutamate murine monoamine alter intensity imaging tryptophan serotonin neurotransmitter water fold specifically distribution dopamine concern implication direct comparison tissue measurement spectrometry tyrosine mouse mass plasma primary brain respectively difference sample metabolism significantly model different significant treatment analysis patient study,{},{},{},"{""spectrometry"": {""freq"": 1, ""string"": [""concern implication direct comparison tissue measurement spectrometry tyrosine mouse mass plasma p""]}}",{},{}
23,23,24,10.1093/hmg/ddw091,27005423.0,implication covalent activity uridylyltransferase better new difference information present glucose site molecular due missense open bacterial gln majority concept well increase disease serf template lethal galactose understanding ternary homologues pharmacological monomer form dysfunction therapy role protein crystal tendency metal therefore ligation mutant structural uridylylation enzyme effect stability change design uridylylated ability potentially significant commonly although rate mutation phosphate per aggregation arg structure dimer model homodimer intermediate active revealing future galactosemia variant lack likely chaperone influence zbetter consequence classic interaction human zinc arrangement absence hgalt resolution complex,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5081055/,abstract,1,zbetter uridylylation uridylylated hgalt uridylyltransferase ternary revealing homologues homodimer covalent gln tendency serf ligation galactosemia galactose arrangement lethal template intermediate phosphate dimer monomer metal zinc chaperone arg crystal aggregation bacterial resolution classic commonly stability missense absence pharmacological mutant open glucose concept structural majority active potentially consequence implication understanding site lack likely dysfunction structure influence ability design interaction better form enzyme change complex variant increase future molecular therapy information rate activity mutation role difference present new human model protein significant effect disease,{},{},{},{},{},{}
24,24,25,10.1210/jc.2016-1760,27466884.0,grs blood assessment tertile whether greater composition context among glucose weight risk differentially objective significantly respectively estimated homeostatic modulate evidence reduction strategy trait obesity previous disturbance improvement result effect data change design novel genetic metabolism score level seven main female measure sensitivity overall outcome intervention pound model expression calculate loss baseline susceptibility year diet hundred age variant obese homa resistance closely macronutrient regardless preventative trial conclusion lowest plasma overweight glycemic different interaction high regulating insulin dietary eleven patient highest participant gene,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052340/,abstract,1,grs pound tertile estimated preventative macronutrient homeostatic homa glycemic calculate modulate closely overweight regulating differentially regardless lowest obese disturbance susceptibility insulin resistance composition highest seven glucose trait baseline obesity previous female improvement weight sensitivity loss reduction context greater design main overall score interaction participant assessment measure objective plasma trial expression change strategy variant diet respectively intervention dietary novel evidence outcome conclusion metabolism significantly risk model blood different age gene year effect high genetic data level result patient,{},"{""genetic"": {""freq"": 1, ""string"": []}}",{},{},"{""diet"": {""freq"": 1, ""string"": [""plasma trial expression change strategy variant diet respectively intervention dietary novel e""]}}",{}
25,25,26,10.1002/wnan.1339,25707913.0,blood memory lead time specifically modification literature igg igm uncharged well circulation numerous flexible individual animal anti clinical protein feature polyethylene body report efficacy existence question immune immunity type nanoparticle untreated formation bind although rate independent short pre clearance produce drug fully peg many approach immunological model therapeutic polymer potential antibody system response nevertheless rodent incidence address cell robust hydrophilic primarily typically prevalence order healthy mechanism research widely trial induction group study human predominantly complication highly presence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4515207/,abstract,1,uncharged nanoparticle igm hydrophilic immunological rodent igg flexible circulation clearance polymer polyethylene peg immunity induction existence bind predominantly produce antibody primarily fully untreated modification typically numerous immune complication specifically robust memory formation question anti widely independent address pre incidence short efficacy animal feature lead presence highly prevalence order literature body healthy trial drug response therapeutic mechanism report rate cell approach individual time human model blood type research potential protein group clinical study,{},{},{},{},{},{}
26,26,28,10.1037/neu0000336,28240926.0,relationship early time across visual present adult sustained due variation coordination chemical average testing control accumulation varied objective disease pku phe executive adulthood phenylalanine childhood unique visuomotor health protein brain task result metabolic attention question type level use inability vantage current stable outcome point phenylketonuria method bio predictor disruption development free test important associated diet best stronger strict age still adolescent function cognitive impairment impact monitor importance also different domain right acid dietary even amino performance show number,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5331922/,abstract,1,vantage visuomotor bio sustained inability coordination stronger disruption monitor strict varied visual right adulthood predictor executive stable chemical question adolescent task unique accumulation domain average associated best childhood impairment attention variation point free importance relationship performance testing cognitive phe objective brain adult use diet impact dietary current pku amino outcome important function phenylketonuria number present test time early phenylalanine control type acid different protein age development metabolic health method level result disease,"{""phenylalanine"": {""freq"": 2, ""string"": [""phenylketonuria number present test time early phenylalanine control type acid different p""]}}",{},{},"{""amino"": {""freq"": 1, ""string"": [""use diet impact dietary current pku amino outcome important function phenylketonuria n""]}}","{""diet"": {""freq"": 1, ""string"": [""cognitive phe objective brain adult use diet impact dietary current pku a""]}}",{}
