,Unnamed: 0,Unnamed: 0.1,doi,pmid,text,link,label1,DNA,PROTEIN,RNA,CELL_TYPE,CELL_LINE
10,10,10,10.3889/oamjms.2018.038,29484020.0,"the authors show a brief overview of the vitiligo’s unconventional therapies. a part for well-documented effectiveness of l-phenylalanine, pge2 and antioxidant agents in the treatment of vitiligo, for the other therapeutical approaches more investigations are needed",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5816295/,abstract,,pge2,,,
11,11,11,10.1186/s13023-018-0993-1,30700313.0,"backgroundnewborn screening programs are essential preventative public health initiatives but are not widely available in low-resource settings. the objective of this study was to describe the frequency and nature of screen positive determinations as made by a canadian newborn screening program in a cohort of infants born in matlab, bangladesh. dried newborn cord and heel-prick blood spot samples collected as part of a validation study nested within a preterm birth research cohort were collected between january 2017 and july 2018 and analyzed in a canadian newborn screening laboratory where the laboratory’s disease panel and screening thresholds were applied.resultsa total of 1661 newborn samples (520 heel-prick and 1141 cord blood samples) were available for analysis. based on the applied screening thresholds, 61 samples (22 by heel-prick and 39 by cord blood) were screen positive for conditions included in the canadian disease panel. congenital hypothyroidism was the most common determination for heel-prick (n = 17) and cord blood (n = 12) samples. carriers of hemoglobinopathy variants were identified in 6.9% of both tested heel-prick and cord blood samples.conclusionsthis study provides insight into the nature and frequency of treatable congenital conditions in a rural bangladesh community where such data were previously unavailable. as comment to the feasibility of newborn screening in the region we confirm that screening based on cord blood sampling continues to be the most acceptable modality to parents in such settings. acknowledged barriers include early infant discharge, which may affect the reliability of initial screening thresholds to determine disease risk. we further highlight the importance of continuing efforts in the country to identify infants with congenital hypothyroidism.electronic supplementary materialthe online version of this article (10.1186/s13023-018-0993-1) contains supplementary material, which is available to authorized users",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6354381/,abstract,,applied.resultsa,,,
12,12,12,10.1155/2018/3235072,30154849.0,"hypertension or high blood pressure is a harbinger of cardiovascular diseases. there are several classes of drugs used to treat hypertension. this review discusses the use of dried blood spots (dbss) for the quantification by mass spectrometry (ms), tandem mass spectrometry (ms/ms), or, in some cases, by fluorescence detection methods the following antihypertensive medications: angiotensin-converting enzyme inhibitors (ramipril, ramiprilat, captopril, and lisinopril); angiotensin ii receptor antagonists (valsartan, irbesartan, losartan, and losartan carboxylic acid); calcium channel blockers (verapamil, amlodipine, nifedipine, pregabalin, and diltiazem); α blockers (guanfacine, doxazosin, and prazosin); β blockers (propranolol, bisoprolol, atenolol, and metoprolol); endothelin receptor antagonists (bosentan and ambrisentan); and statins (simvastatin, atorvastatin, and rosuvastatin).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093062/,abstract,,"angiotensin ii receptor antagonists , β blockers , endothelin receptor",,,
13,13,13,10.3390/molecules201119658,26540034.0,"since its discovery, the phe-phe motif has gained in popularity as a minimalist building block to drive the self-assembly of short peptides and their analogues into nanostructures and hydrogels. molecules based on the phe-phe motif have found a range of applications in nanomedicine, from drug delivery and biomaterials to new therapeutic paradigms. here we discuss the various production methods for this class of compounds, and the characterization, nanomorphologies, and application of their self-assembled nanostructures. we include the most recent findings on their remarkable properties, which hold substantial promise for the creation of the next generation nanomedicines",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332413/,abstract,,"phe-phe motif , phe-phe motif",,,
14,14,14,10.1177/1559325818811756,30574028.0,"the biological consequences of mechanical whole body vibration (wbv) on the brain are not well documented. the aim of the current study was to further investigate the effects of a 5-week wbv intervention on brain functions. mice (c57bl/6j males, age 15 weeks) were exposed to 30 hz wbv sessions (10 minutes per day, 5 days per week, for a period of 5 weeks; n = 10). controls received the same intervention without the actual vibration (n = 10). humans (both genders, age ranging from 44-99 years) were also exposed to daily sessions of 30 hz wbv (4 minutes per day, 4 days per week, for a period of 5 weeks; n = 18). controls received the same protocol using a 1 hz protocol (n = 16). positron emission tomography imaging was performed in the mice, and revealed that glucose uptake was not changed as a consequence of the 5-week wbv intervention. whole body vibration did, however, improve motor performance and reduced arousal-induced home cage activity. cognitive tests in humans revealed a selective improvement in the stroop color-word test. taken together, it is concluded that wbv is a safe intervention to improve brain functioning, although the subtle effects suggest that the protocol is as yet suboptimal",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299320/,abstract,,,,,
15,15,15,10.7554/eLife.12814,26744778.0,"many driver mutations in cancer are specific in that they occur at significantly higher rates than – presumably – functionally alternative mutations. for example, v600e in the braf hydrophobic activation segment (as) pocket accounts for >95% of all kinase mutations. while many hypotheses tried to explain such significant mutation patterns, conclusive explanations are lacking. here, we use experimental and in silico structure-energy statistical analyses, to elucidate why the v600e mutation, but no other mutation at this, or any other positions in braf’s hydrophobic pocket, is predominant. we find that braf mutation frequencies depend on the equilibrium between the destabilization of the hydrophobic pocket, the overall folding energy, the activation of the kinase and the number of bases required to change the corresponding amino acid. using a random forest classifier, we quantitatively dissected the parameters contributing to braf as cancer frequencies. these findings can be applied to genome-wide association studies and prediction models.doi:
http://dx.doi.org/10.7554/elife.12814.001research organism: human",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4749552/,abstract,,"braf hydrophobic activation segment , hydrophobic pocket , kinase",,,
16,16,16,10.1128/mSystems.00031-18,29795809.0,"although much work has linked the human microbiome to specific phenotypes and lifestyle variables, data from different projects have been challenging to integrate and the extent of microbial and molecular diversity in human stool remains unknown. using standardized protocols from the earth microbiome project and sample contributions from over 10,000 citizen-scientists, together with an open research network, we compare human microbiome specimens primarily from the united states, united kingdom, and australia to one another and to environmental samples. our results show an unexpected range of beta-diversity in human stool microbiomes compared to environmental samples; demonstrate the utility of procedures for removing the effects of overgrowth during room-temperature shipping for revealing phenotype correlations; uncover new molecules and kinds of molecular communities in the human stool metabolome; and examine emergent associations among the microbiome, metabolome, and the diversity of plants that are consumed (rather than relying on reductive categorical variables such as veganism, which have little or no explanatory power). we also demonstrate the utility of the living data resource and cross-cohort comparison to confirm existing associations between the microbiome and psychiatric illness and to reveal the extent of microbiome change within one individual during surgery, providing a paradigm for open microbiome research and education.importance we show that a citizen science, self-selected cohort shipping samples through the mail at room temperature recaptures many known microbiome results from clinically collected cohorts and reveals new ones. of particular interest is integrating n = 1 study data with the population data, showing that the extent of microbiome change after events such as surgery can exceed differences between distinct environmental biomes, and the effect of diverse plants in the diet, which we confirm with untargeted metabolomics on hundreds of samples",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954204/,abstract,,education.importance,,,
17,17,17,10.14744/nci.2018.59862,31297488.0,"mirror movements occur in early childhood due to the maturation of the corpus callosum of noncrossing motor pathways. such movements are considered normal until the age of 10 and are rarely reported in children older than 10 years. mirror movements are involuntary movements that occur in the homologous contralateral extremity on voluntary activation. permanent mirror movements can occur with anomalies; however, also are reported familial and sporadic cases. migraine is the most common primary headache in childhood. its prevalence ranges from 1% to 3% between the ages of 3 and 7, and from 8% to 23% in the adolescence. the prevalence of migraine in adolescent girls is higher. for the migraine diagnosis, the imaging studies are unnecessary, and a detailed history and physical examination are sufficient. in this study, we present a case of a 17-year-old girl with mirror movements accompanied by migraine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593911/,abstract,,,,,
18,18,18,10.1007/s10900-015-0094-1,26433724.0,"old order amish and mennonites, or plain populations, are a growing minority in north america with unique health care delivery and access challenges coupled with higher frequencies of genetic disorders. the objective of this study was to determine newborn screening use and attitudes from western wisconsin plain communities. a cross-sectional survey, with an overall response rate of 25%, provided data representing 2,010 children. in households with children (n=297), the rate of newborn screening was 74% and all children were screened in 40% of these households. lack of access to testing was the most common reason for not screening all children and parental age was inversely associated with testing. the majority of respondents reported some or more knowledge of screening, viewed screening as important, and had access to screening in their communities. households with children who had never received newborn screening (26%) reported lower frequencies of favorable responses in all categories compared to households that had at least one child screened. the difference in access to newborn screening was less marked between the groups compared to differences on knowledge and consideration of its importance. moreover, 55% of households who had never screened any of their children reported being unlikely or unsure of screening any future children. a focus on improving access to newborn screening alongside establishing approaches to change parental perceptions on the importance of newborn screening is necessary for increasing newborn screening in these plain communities",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4779392/,abstract,,wisconsin,,,
19,19,19,10.1038/s41598-017-06033-1,28720891.0,"autism spectrum disorder (asd) is a complex neurodevelopmental disorder with genetic and clinical heterogeneity. the interplay of de novo and inherited rare variants has been suspected in the development of asd. here, we applied whole exome sequencing (wes) on 19 trios from singleton saudi families with asd. we developed an analysis pipeline that allows capturing both de novo and inherited rare variants predicted to be deleterious. a total of 47 unique rare variants were detected in 17 trios including 38 which are newly discovered. the majority were either autosomal recessive or x-linked. our pipeline uncovered variants in 15 asd-candidate genes, including 5 (glt8d1, htatsf1, or6c65, itih6 and ddx26b) that have not been reported in any human condition. the remaining variants occurred in genes formerly associated with asd or other neurological disorders. examples include sumf1, kdm5b and mxra5 (known-asd genes), prodh2 and kctd21 (implicated in schizophrenia), as well as usp9x and sms (implicated in intellectual disability). consistent with expectation and previous studies, most of the genes implicated herein are enriched for biological processes pertaining to neuronal function. our findings underscore the private and heterogeneous nature of the genetic architecture of asd even in a population with high consanguinity rates.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515956/,abstract,"15 asd-candidate genes , 5 (glt8d1, htatsf1, or6c65, itih6 and ddx26b) , mxra5 , known-asd genes","sumf1 , kdm5b",,,
20,20,20,10.3390/metabo9040076,31003499.0,"the use of multiple omics techniques (i.e., genomics, transcriptomics, proteomics, and metabolomics) is becoming increasingly popular in all facets of life science. omics techniques provide a more holistic molecular perspective of studied biological systems compared to traditional approaches. however, due to their inherent data differences, integrating multiple omics platforms remains an ongoing challenge for many researchers. as metabolites represent the downstream products of multiple interactions between genes, transcripts, and proteins, metabolomics, the tools and approaches routinely used in this field could assist with the integration of these complex multi-omics data sets. the question is, how? here we provide some answers (in terms of methods, software tools and databases) along with a variety of recommendations and a list of continuing challenges as identified during a peer session on multi-omics integration that was held at the recent ‘australian and new zealand metabolomics conference’ (anzmet 2018) in auckland, new zealand (sept. 2018). we envisage that this document will serve as a guide to metabolomics researchers and other members of the community wishing to perform multi-omics studies. we also believe that these ideas may allow the full promise of integrated multi-omics research and, ultimately, of systems biology to be realized",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6523452/,abstract,’,,,,
21,21,21,10.1126/sciadv.1500137,26601224.0,"the accumulation of amyloid fibrils is the hallmark of several major human diseases. although the formation of these supramolecular entities has previously been associated with proteins and peptides, it was later demonstrated that even phenylalanine, a single amino acid, can form fibrils that have amyloid-like biophysical, biochemical, and cytotoxic properties. moreover, the generation of antibodies against these assemblies in phenylketonuria patients and the correlating mice model suggested a pathological role for the assemblies. we determine that several other metabolites that accumulate in metabolic disorders form ordered amyloid-like ultrastructures, which induce apoptotic cell death, as observed for amyloid structures. the formation of amyloid-like assemblies by metabolites implies a general phenomenon of amyloid formation, not limited to proteins and peptides, and offers a new paradigm for metabolic diseases",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4643800/,abstract,,"amyloid fibrils , antibodies , amyloid-like assemblies",,,
22,22,22,10.1007/s11306-019-1531-4,31037385.0,"objectivenitisinone induced hypertyrosinaemia is a concern in patients with alkaptonuria (aku). it has been suggested that this may alter neurotransmitter metabolism, specifically dopamine and serotonin. herein mass spectrometry imaging (msi) is used for the direct measurement of 2,4-diphenyl-pyranylium tetrafluoroborate (dpp-tfb) derivatives of monoamine neurotransmitters in brain tissue from a murine model of aku following treatment with nitisinone.methodsmetabolite changes were assessed using msi on dpp-tfb derivatised fresh frozen tissue sections directing analysis towards primary amine neurotransmitters. matched tail bleed plasma samples were analysed using lc-ms/ms. eighteen balb/c mice were included in this study: hgd−/− (n = 6, treated with nitisinone – 4 mg/l, in drinking water); hgd−/− (n = 6, no treatment) and hgd+/− (n = 6, no treatment).resultsion intensity and distribution of dpp-tfb derivatives in brain tissue for dopamine, 3-methoxytyramine, noradrenaline, tryptophan, serotonin, and glutamate were not significantly different following treatment with nitisinone in hgd−/− mice, and no significant differences were observed between hgd−/− and hgd+/− mice that received no treatment. tyrosine (10-fold in both comparisons, p = 0.003; [balb/c hgd−/− (n = 6) and balb/c hgd+/− (n = 6) (no treatment) vs. balb/c hgd−/− (n = 6, treated)] and tyramine (25-fold, p = 0.02; 32-fold, p = 0.02) increased significantly following treatment with nitisinone. plasma tyrosine and homogentisic acid increased (9-fold, p = < 0.0001) and decreased (9-fold, p = 0.004), respectively in hgd−/− mice treated with nitisinone.conclusionsmonoamine neurotransmitters in brain tissue from a murine model of aku did not change following treatment with nitisinone. these findings have significant implications for patients with aku as they suggest monoamine neurotransmitters are not altered following treatment with nitisinone",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6488549/,abstract,,nitisinone.conclusionsmonoamine neurotransmitters,,,
23,23,24,10.1093/hmg/ddw091,27005423.0,"classic galactosemia is a potentially lethal disease caused by the dysfunction of galactose 1-phosphate uridylyltransferase (galt). over 300 disease-associated galt mutations have been reported, with the majority being missense changes, although a better understanding of their underlying molecular effects has been hindered by the lack of structural information for the human enzyme. here, we present the 1.9 å resolution crystal structure of human galt (hgalt) ternary complex, revealing a homodimer arrangement that contains a covalent uridylylated intermediate and glucose-1-phosphate in the active site, as well as a structural zinc-binding site, per monomer. hgalt reveals significant structural differences from bacterial galt homologues in metal ligation and dimer interactions, and therefore is a zbetter model for understanding the molecular consequences of disease mutations. both uridylylation and zinc binding influence the stability and aggregation tendency of hgalt. this has implications for disease-associated variants where p.gln188arg, the most commonly detected, increases the rate of aggregation in the absence of zinc likely due to its reduced ability to form the uridylylated intermediate. as such our structure serves as a template in the future design of pharmacological chaperone therapies and opens new concepts about the roles of metal binding and activity in protein misfolding by disease-associated mutants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5081055/,abstract,,"galactose 1-phosphate uridylyltransferase , human enzyme , 1.9 å resolution crystal structure , human galt (hgalt) ternary complex , structural zinc-binding site , bacterial galt homologues , p.gln188arg",,,
24,24,25,10.1210/jc.2016-1760,27466884.0,"context:taurine metabolism disturbance is closely linked to obesity, insulin resistance, and diabetes. previous evidence suggested that the preventative effects of taurine on diabetes might be through regulating the expression levels of diabetes-related genes.objective:we estimated whether blood taurine levels modified the overall genetic susceptibility to diabetes on improvement of insulin sensitivity in a randomized dietary trial.design and setting:we genotyped 31 diabetes-associated variants to calculate a genetic risk score (grs) and measured plasma taurine levels and glycemic traits among participants from the preventing overweight using novel dietary strategies (pounds lost) trial.participants:seven-hundred eleven overweight or obese participants (age 30–70 y; 60% females) had genetic variants genotyped and blood taurine levels measured.intervention:participants went on 2-year weight-loss diets, which were different in macronutrient composition.main outcome measure:improvements in glycemic traits were measured.results:we found that baseline taurine levels significantly modified the effects of diabetes grs on changes in fasting glucose, insulin, and homeostatic model assessment of insulin resistance (homa-ir) during the 2-year diet intervention (p-interaction = .04, .01, .002, respectively), regardless of weight loss. high baseline taurine levels were associated with a less reduction in both glucose and homa-ir among the participants with the lowest tertile of diabetes grs (both p = .02), and with a greater reduction in both insulin and homa-ir among those with the highest tertile of diabetes grs (both p = .04).conclusions:our data suggest that blood taurine levels might differentially modulate the effects of diabetes-related genes on improvement of insulin sensitivity among overweight/obese patients on weight-loss diets.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052340/,abstract,diabetes-related genes,,,,
